month,total_posts,topic,cluster_label,cluster_n,post_count,share_all_posts
2023-09-01,2070,6,"Remote hybrid and return-to-office
Work arrangements and control",963,18,0.008695652173913044
2023-10-01,1746,6,"Remote hybrid and return-to-office
Work arrangements and control",963,23,0.013172966781214204
2023-11-01,1558,6,"Remote hybrid and return-to-office
Work arrangements and control",963,21,0.013478818998716302
2023-12-01,1548,6,"Remote hybrid and return-to-office
Work arrangements and control",963,12,0.007751937984496124
2024-01-01,1526,6,"Remote hybrid and return-to-office
Work arrangements and control",963,23,0.01507208387942333
2024-02-01,1372,6,"Remote hybrid and return-to-office
Work arrangements and control",963,20,0.014577259475218658
2024-03-01,1313,6,"Remote hybrid and return-to-office
Work arrangements and control",963,5,0.003808073115003808
2024-04-01,1174,6,"Remote hybrid and return-to-office
Work arrangements and control",963,7,0.00596252129471891
2024-05-01,1247,6,"Remote hybrid and return-to-office
Work arrangements and control",963,12,0.009623095429029671
2024-06-01,1192,6,"Remote hybrid and return-to-office
Work arrangements and control",963,7,0.00587248322147651
2024-07-01,1123,6,"Remote hybrid and return-to-office
Work arrangements and control",963,6,0.005342831700801425
2024-08-01,1059,6,"Remote hybrid and return-to-office
Work arrangements and control",963,17,0.016052880075542966
2024-09-01,909,6,"Remote hybrid and return-to-office
Work arrangements and control",963,9,0.009900990099009901
2024-10-01,936,6,"Remote hybrid and return-to-office
Work arrangements and control",963,12,0.01282051282051282
2024-11-01,841,6,"Remote hybrid and return-to-office
Work arrangements and control",963,6,0.007134363852556481
2024-12-01,722,6,"Remote hybrid and return-to-office
Work arrangements and control",963,13,0.018005540166204988
2025-01-01,807,6,"Remote hybrid and return-to-office
Work arrangements and control",963,17,0.021065675340768277
2025-02-01,637,6,"Remote hybrid and return-to-office
Work arrangements and control",963,6,0.009419152276295133
2021-03-01,255,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,0,0.0
2021-04-01,294,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,0,0.0
2021-05-01,344,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,0,0.0
2021-06-01,372,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,1,0.002688172043010753
2021-07-01,350,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,2,0.005714285714285714
2021-08-01,422,7,"Interpersonal mistreatment and role overload
Workplace authority and interpersonal conflict",767,0,0.0
