month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2021-07-01,Workplace authority and interpersonal conflict,2,350,63,0.005714285714285714,0.031746031746031744,0.005488991295442908
2021-08-01,Career precarity and exit,15,422,65,0.035545023696682464,0.23076923076923078,0.04081695109769834
2021-08-01,Collective worker power and rights,0,422,65,0.0,0.0,0.0014506370560182218
2021-08-01,Compensation and pay rights,6,422,65,0.014218009478672985,0.09230769230769231,0.02422826808944591
2021-08-01,Health safety and attendance,14,422,65,0.03317535545023697,0.2153846153846154,0.028642621508538666
2021-08-01,Recruitment and labor market,6,422,65,0.014218009478672985,0.09230769230769231,0.013985546187531181
2021-08-01,Scheduling hours and time off,10,422,65,0.023696682464454975,0.15384615384615385,0.018185747311626636
2021-08-01,Service work and tips,3,422,65,0.0071090047393364926,0.046153846153846156,0.007263966773031019
2021-08-01,Work arrangements and control,11,422,65,0.026066350710900472,0.16923076923076924,0.024191666337756917
2021-08-01,Workplace authority and interpersonal conflict,0,422,65,0.0,0.0,0.006389066837497331
2021-09-01,Career precarity and exit,18,669,108,0.026905829596412557,0.16666666666666666,0.028807047879152312
2021-09-01,Collective worker power and rights,1,669,108,0.0014947683109118087,0.009259259259259259,0.0025239144425974313
2021-09-01,Compensation and pay rights,20,669,108,0.029895366218236172,0.18518518518518517,0.02269455534709036
2021-09-01,Health safety and attendance,20,669,108,0.029895366218236172,0.18518518518518517,0.0304766461379718
2021-09-01,Recruitment and labor market,9,669,108,0.013452914798206279,0.08333333333333333,0.017438811355853744
2021-09-01,Scheduling hours and time off,13,669,108,0.01943198804185351,0.12037037037037036,0.01876514990318318
2021-09-01,Service work and tips,6,669,108,0.008968609865470852,0.05555555555555555,0.008510228951096033
2021-09-01,Work arrangements and control,12,669,108,0.017937219730941704,0.1111111111111111,0.01736873459922761
2021-09-01,Workplace authority and interpersonal conflict,9,669,108,0.013452914798206279,0.08333333333333333,0.006509963271695588
2021-10-01,Career precarity and exit,71,2962,426,0.02397029034436192,0.16666666666666666,0.0239409954752627
2021-10-01,Collective worker power and rights,18,2962,426,0.006076975016880486,0.04225352112676056,0.005362243234604697
2021-10-01,Compensation and pay rights,71,2962,426,0.02397029034436192,0.16666666666666666,0.027832603050384652
2021-10-01,Health safety and attendance,84,2962,426,0.02835921674544227,0.19718309859154928,0.029238811941571286
2021-10-01,Recruitment and labor market,73,2962,426,0.02464550979068197,0.17136150234741784,0.020646795480583097
2021-10-01,Scheduling hours and time off,39,2962,426,0.013166779203241054,0.09154929577464789,0.01648614675653924
