month,candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
2022-02-01,Service work and tips,46,0.5103345,0.40096137,0.08870416,0.6086956521739131,0.32608695652173914,0.06521739130434782,0.7012495
2022-02-01,Work arrangements and control,32,0.41892806,0.5022083,0.078863665,0.40625,0.59375,0.0,0.6258262
2022-02-01,Workplace authority and interpersonal conflict,23,0.66093427,0.26050156,0.07856415,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.72793657
2022-03-01,Career precarity and exit,98,0.55056727,0.34677392,0.102658816,0.6122448979591837,0.32653061224489793,0.061224489795918366,0.68782485
2022-03-01,Collective worker power and rights,31,0.46261886,0.44392398,0.09345716,0.5161290322580645,0.45161290322580644,0.03225806451612903,0.6471037
2022-03-01,Compensation and pay rights,174,0.45085323,0.389116,0.1600308,0.5057471264367817,0.3620689655172414,0.13218390804597702,0.6828915
2022-03-01,Health safety and attendance,113,0.5871126,0.33422148,0.078665905,0.6814159292035398,0.2743362831858407,0.04424778761061947,0.69605285
2022-03-01,Recruitment and labor market,125,0.46862945,0.4239605,0.10741004,0.552,0.384,0.064,0.67544353
2022-03-01,Scheduling hours and time off,85,0.49567688,0.41436735,0.08995579,0.5294117647058824,0.4235294117647059,0.047058823529411764,0.68027526
2022-03-01,Service work and tips,53,0.48546305,0.4102227,0.10431421,0.5094339622641509,0.4339622641509434,0.05660377358490566,0.6731003
2022-03-01,Work arrangements and control,77,0.45408997,0.42719263,0.1187174,0.5454545454545454,0.37662337662337664,0.07792207792207792,0.66777956
2022-03-01,Workplace authority and interpersonal conflict,40,0.643297,0.2898565,0.06684648,0.75,0.225,0.025,0.7417269
2022-04-01,Career precarity and exit,121,0.57706785,0.33830035,0.08463182,0.6776859504132231,0.2975206611570248,0.024793388429752067,0.71300554
2022-04-01,Collective worker power and rights,37,0.45019624,0.4451132,0.10469056,0.5405405405405406,0.3783783783783784,0.08108108108108109,0.6903502
2022-04-01,Compensation and pay rights,188,0.4759312,0.39533204,0.12873673,0.5372340425531915,0.35106382978723405,0.11170212765957446,0.66553795
2022-04-01,Health safety and attendance,114,0.5960589,0.34655228,0.057388775,0.7368421052631579,0.22807017543859648,0.03508771929824561,0.69549733
2022-04-01,Recruitment and labor market,87,0.46546292,0.4216675,0.11286959,0.5172413793103449,0.40229885057471265,0.08045977011494253,0.6988931
2022-04-01,Scheduling hours and time off,91,0.4605451,0.45186082,0.08759409,0.5164835164835165,0.43956043956043955,0.04395604395604396,0.6486117
2022-04-01,Service work and tips,77,0.5130893,0.40030468,0.08660604,0.5194805194805194,0.45454545454545453,0.025974025974025976,0.68511134
2022-04-01,Work arrangements and control,68,0.43723467,0.46480313,0.0979622,0.4852941176470588,0.47058823529411764,0.04411764705882353,0.67439073
2022-04-01,Workplace authority and interpersonal conflict,43,0.57385314,0.31779274,0.10835412,0.6511627906976745,0.2558139534883721,0.09302325581395349,0.70862514
2022-05-01,Career precarity and exit,80,0.6335829,0.30934355,0.057073545,0.7625,0.225,0.0125,0.7189001
2022-05-01,Collective worker power and rights,20,0.39979863,0.5309894,0.06921197,0.3,0.7,0.0,0.66063064
2022-05-01,Compensation and pay rights,108,0.4596397,0.430761,0.109599315,0.46296296296296297,0.48148148148148145,0.05555555555555555,0.6592201
2022-05-01,Health safety and attendance,86,0.66315746,0.29386863,0.04297392,0.8255813953488372,0.1511627906976744,0.023255813953488372,0.71918446
2022-05-01,Recruitment and labor market,70,0.3928852,0.47092628,0.13618852,0.42857142857142855,0.5,0.07142857142857142,0.6583424
2022-05-01,Scheduling hours and time off,75,0.46012613,0.4296429,0.11023095,0.5333333333333333,0.4,0.06666666666666667,0.6796423
2022-05-01,Service work and tips,27,0.43127197,0.47462046,0.09410753,0.48148148148148145,0.48148148148148145,0.037037037037037035,0.7187139
2022-05-01,Work arrangements and control,39,0.4395881,0.4283239,0.13208796,0.46153846153846156,0.4358974358974359,0.10256410256410256,0.6753419
